wind_scen,price_scen,imb_scen,profit_EUR
w7,p1,i3,536922.4253138298
w7,p1,i4,540614.5935039894
w7,p2,i1,400466.8671303192
w7,p2,i2,401719.3154095745
w7,p2,i3,400568.4613663564
w7,p2,i4,405886.92949667556
w7,p3,i1,313993.0714102394
w7,p3,i2,312383.97651595745
w7,p3,i3,315890.8885106383
w7,p3,i4,317199.9422054521
w7,p4,i1,608701.7634355053
w7,p4,i2,611439.0358976064
w7,p4,i3,610592.7085990692
w7,p4,i4,618213.6597047873
w7,p5,i1,434022.27800398937
w7,p5,i2,433332.8265817819
w7,p5,i3,435477.02193683514
w7,p5,i4,438843.63893085107
w7,p6,i1,553738.6311855053
w7,p6,i2,553987.9648277926
w7,p6,i3,555387.0861675532
w7,p6,i4,560740.2016090426
w7,p7,i1,459353.53365625005
w7,p7,i2,460294.8527234043
w7,p7,i3,459775.9011289894
w7,p7,i4,465471.26768683514
w7,p8,i1,44142.35934840426
w7,p8,i2,44300.59474601064
w7,p8,i3,43960.438145611704
w7,p8,i4,44732.07078523937
w7,p9,i1,21581.30894082447
w7,p9,i2,21588.934482712768
w7,p9,i3,21630.956529255323
w7,p9,i4,21974.213156250004
w7,p10,i1,195705.62336768617
w7,p10,i2,196235.42304055853
w7,p10,i3,196054.21135172874
w7,p10,i4,199159.46653125001
w7,p11,i1,418068.1615232713
w7,p11,i2,417229.37271875003
w7,p11,i3,419950.2351961436
w7,p11,i4,422932.8962160904
w7,p12,i1,593522.3307180852
w7,p12,i2,593572.9370764628
w7,p12,i3,595649.7291276596
w7,p12,i4,600850.3615857713
w7,p13,i1,757898.039924867
w7,p13,i2,758417.1219454787
w7,p13,i3,760920.714856383
w7,p13,i4,767670.2809222074
w7,p14,i1,628996.6379840425
w7,p14,i2,629647.3755797873
w7,p14,i3,630551.4509082447
w7,p14,i4,637096.7430093086
w7,p15,i1,321359.23884773935
w7,p15,i2,323061.79518550535
w7,p15,i3,321356.9304694149
w7,p15,i4,326148.24000000005
w7,p16,i1,360848.71306515957
w7,p16,i2,359539.883962766
w7,p16,i3,362548.5673503989
w7,p16,i4,364665.29261103726
w7,p17,i1,388517.78251994686
w7,p17,i2,389936.09339295217
w7,p17,i3,389202.1059933511
w7,p17,i4,394233.21875864366
w7,p18,i1,638147.9472107713
w7,p18,i2,638513.2913962766
w7,p18,i3,640514.6229355054
w7,p18,i4,645776.9043257979
w7,p19,i1,372387.8397253989
w7,p19,i2,374069.0641801862
w7,p19,i3,372442.55521542556
w7,p19,i4,377566.3148683511
w7,p20,i1,121365.46093351065
w7,p20,i2,122164.75309574469
w7,p20,i3,121699.56865159575
w7,p20,i4,122985.12694680852
w8,p1,i1,517733.1784162234
w8,p1,i2,516980.1281216755
w8,p1,i3,520228.52432579786
w8,p1,i4,523041.69955119677
w8,p2,i1,344667.2540279255
w8,p2,i2,342883.4653630319
w8,p2,i3,342524.3613005319
w8,p2,i4,344761.09332779254
w8,p3,i1,324416.1422918883
w8,p3,i2,323158.2022460106
w8,p3,i3,326379.53702260635
w8,p3,i4,328389.003887633
w8,p4,i1,525915.0918231383
w8,p4,i2,524334.2660478724
w8,p4,i3,524314.8328996011
w8,p4,i4,527026.1772526596
w8,p5,i1,426245.21088630316
w8,p5,i2,425488.2515784574
w8,p5,i3,427536.42283776595
w8,p5,i4,430601.33543085103
w8,p6,i1,519680.7616243351
w8,p6,i2,518117.10246010637
w8,p6,i3,519741.27407912235
w8,p6,i4,523217.8873836436
w8,p7,i1,415514.6931868351
w8,p7,i2,414091.80721542554
w8,p7,i3,413973.882268617
w8,p7,i4,416917.4553630319
w8,p8,i1,33525.548910904254
w8,p8,i2,33187.370885638295
w8,p8,i3,33187.50043284574
w8,p8,i4,33256.21973071808
w8,p9,i1,18114.768263962767
w8,p9,i2,17915.80700332447
w8,p9,i3,17963.418809840427
w8,p9,i4,18083.87092420213
w8,p10,i1,157277.7568111702
w8,p10,i2,156223.46161901596
w8,p10,i3,156039.10124268616
w8,p10,i4,157025.78756914893
w8,p11,i1,407887.9350571808
w8,p11,i2,406722.93745345745
w8,p11,i3,409637.41914893617
w8,p11,i4,412199.04070478724
w8,p12,i1,555738.3289793882
w8,p12,i2,553957.2393989362
w8,p12,i3,556323.4660319149
w8,p12,i4,559787.263262633
w8,p13,i1,712301.3387985372
w8,p13,i2,710851.5559567818
w8,p13,i3,713057.7931635638
w8,p13,i4,717932.3349148936
w8,p14,i1,572236.8646329787
w8,p14,i2,569984.7594507978
w8,p14,i3,571487.6611728723
w8,p14,i4,575092.5760418882
w8,p15,i1,272242.5961263298
w8,p15,i2,271410.45842220745
w8,p15,i3,270441.236755984
w8,p15,i4,272450.0390731383
w8,p16,i1,365554.7581549202
w8,p16,i2,364880.1040585106
w8,p16,i3,367656.46403390955
w8,p16,i4,370210.34198271274
